regime,qqq_cagr,qqq_dd,纯QQQ_final,持有TQQQ_final,TQQQ+SMA全程_final,组合_final,纯QQQ_dd,持有TQQQ_dd,TQQQ+SMA全程_dd,组合_dd
有大跌/震荡,13.242836585617447,-53.88642423423873,755071.3794877111,717382.0343450448,1038851.0381427326,708010.7939141298,-39.56112618709683,-86.92986123273559,-65.65391431020959,-59.334558209550046
有大跌/震荡,12.21199204346306,-62.35144843573423,1059700.9829150538,1661993.9122139092,358715.60861643025,715654.2851114767,-44.38012663805597,-93.41973349351788,-74.04275031747794,-66.1582337101992
有大跌/震荡,9.653198904393934,-37.80267707608468,701430.0181639212,617900.6403220026,713868.0412266462,1645773.5788139936,-32.39227412808483,-83.70900570409493,-70.16194494819244,-63.34459853257307
有大跌/震荡,20.704559883127004,-48.248862513591796,1367933.8730961955,2389740.8788008476,2443261.952121554,2463868.5210395544,-48.24882439781136,-91.1825550956652,-80.50764312121403,-70.54365380710392
强劲平稳,14.047139377330865,-34.393084052297226,904680.818314346,1455245.6115626844,1246410.2156290223,1991962.0891666217,-33.56439067465497,-77.75414412091418,-66.96578305228505,-43.79058807955497
有大跌/震荡,10.869207868884256,-58.40077364957968,736066.9601759204,196274.5829477016,282043.86207950837,339022.4852820764,-58.23853839983912,-97.42381551398208,-88.75259559676016,-65.68582827107366
有大跌/震荡,2.5108369152577747,-61.440529110873634,340003.24983938347,23620.964359373662,275611.07886206434,268294.00223292824,-61.24442232350984,-97.6673204804673,-80.74347611915202,-68.20198880229275
有大跌/震荡,6.108550911400812,-55.22074241206501,537424.4061877372,227367.27975556842,241291.27004593195,655520.2241175117,-42.37573236914392,-89.94845193278196,-82.07931006297247,-63.52761175692972
有大跌/震荡,17.07880733295497,-40.53885899677178,860488.8066725897,1006776.5088444405,732866.3659415946,1585290.8228471961,-40.49879254433997,-83.88596695354936,-77.77426555180946,-59.675250041347816
有大跌/震荡,15.464599405060797,-43.570524477029416,1135946.0460301717,1611698.4370538802,494087.4488713876,1547365.8738359355,-32.57374583056993,-78.59913780027472,-79.66476019835675,-57.374950086385276
有大跌/震荡,6.087921445038602,-49.20194763803863,506943.495629237,135425.45026732274,177954.3707380336,262351.93064329575,-41.893561998480656,-92.33334069228988,-73.07517801127379,-67.01202335092961
有大跌/震荡,25.288995099100454,-37.52379448575015,2168731.731371844,14129682.170983987,19899285.093429644,3695237.418998356,-28.862895361691987,-81.89043794452289,-58.4119020149444,-58.4119020149444
有大跌/震荡,8.399496996857847,-48.93423456591562,858013.1314169315,644192.7397787941,465730.78185919614,664094.4121788082,-34.80387802599848,-88.05015654203235,-89.5101756314183,-64.86779330119703
有大跌/震荡,21.057892019983846,-41.64952142334313,1276619.5314347255,2840726.0812132205,3142496.426993274,3554684.7746955412,-41.51758249175865,-85.55423528753465,-65.90068501282354,-55.144691354233544
有大跌/震荡,-11.991000011800157,-83.64994637908671,139978.96910103236,2154.6020673450566,62632.65639389058,100430.22410697948,-76.72098289102894,-99.72475205448814,-83.63432817430814,-79.62680893636201
有大跌/震荡,12.80602069372485,-49.753286807196815,840846.5583506307,1073077.4810504608,1130167.146009105,1713702.8839817988,-47.20919974340446,-89.35983516341688,-64.74382245640564,-64.74382245640564
有大跌/震荡,4.722086375135737,-51.30457166223383,499784.50175205566,182279.51260768308,86679.11411547729,327823.67328827834,-42.262459054589364,-87.02398428466934,-83.25934837284683,-55.89591187253933
强劲平稳,16.134096906408057,-29.77983134422223,1133622.745743448,2773043.953821534,1026204.2549033068,3235832.8519366602,-24.152776343032546,-66.09192398349674,-74.67761994310716,-34.967469996128806
有大跌/震荡,13.557303811433453,-37.60964565180278,833565.8858235745,438521.44231606106,312201.642987342,295590.3797645655,-35.764221064034885,-82.44901714409151,-69.88261381678645,-69.88261381678645
有大跌/震荡,23.68845393923904,-40.59408972407471,2234193.2607982876,15980040.27309093,13356196.197606765,4367202.320275213,-28.671317020300492,-74.82198698194296,-74.65840631581653,-74.65840631581653
有大跌/震荡,3.8082578542906864,-44.896491967830165,502301.86295076646,234367.02201517817,374718.87561732804,511457.1027743751,-34.274790676627646,-81.56774861046046,-59.362563827208525,-56.4669942379456
有大跌/震荡,12.949974829529797,-36.63263809962148,770853.7108196073,474147.65797186334,426403.1316337245,672702.970278663,-35.769972171342125,-85.1273368462918,-83.48977722423963,-83.48977722423963
有大跌/震荡,16.607745318130185,-61.10988816914249,750211.291391411,481563.190231299,2421224.858686492,1936169.2057526214,-61.02057770971059,-96.8077745717255,-70.25626979709322,-70.46521945319677
有大跌/震荡,7.194540199010913,-66.82095080432589,526923.6774815382,211650.77113503707,402485.063020865,451711.25370155956,-63.48243968134031,-97.87749551746094,-86.72731490225364,-77.0609258107501
有大跌/震荡,-9.23312509140841,-78.78102068501376,211081.89105508977,20314.764421298943,97226.36811322955,156165.23357863474,-60.621905619354386,-96.10193545182287,-82.48673432011331,-60.621905619354344
有大跌/震荡,18.71332655479423,-43.48015808213853,1278305.4941554882,2192851.1186786583,2127605.150059534,988985.0650679027,-43.28454251467435,-87.45280823360207,-66.99813025929377,-62.91461407399741
有大跌/震荡,14.012181407300584,-49.04117164324412,692642.8880831369,249868.80567671888,635002.2769552654,823996.4476291327,-49.00679711576574,-93.82789679841304,-87.35265613709113,-55.86251552201751
有大跌/震荡,13.060089423726385,-50.112043687185945,744257.0745963887,509590.20819384645,522541.95307054865,784850.1107477795,-40.01298262713176,-95.66296620297294,-91.32121890801604,-76.61124920286065
有大跌/震荡,13.572270177038504,-49.88711172477858,761105.5257063558,672706.753574285,892375.0028481884,1550859.0801552194,-48.69797608790171,-93.52894330287066,-80.52105814751465,-55.321052322711715
有大跌/震荡,3.6035219019450615,-53.96082939221849,409294.8888810001,79026.45760679948,443962.40506386926,663893.8329649054,-51.46854009774386,-96.86448244613464,-77.50708716266229,-71.40425543033435
有大跌/震荡,-0.7044023324369375,-75.06220894191229,271482.25935754983,6454.961584312874,216401.64627698652,523260.8984402254,-74.17580550903044,-99.8158936247657,-93.11533522389814,-83.35282592262821
有大跌/震荡,20.546959775813445,-37.940733921896616,901131.3130488879,994076.4155166895,562900.5603796046,1045341.8319739352,-37.2770718969571,-85.18118543184677,-87.47085684062894,-78.13102512684921
有大跌/震荡,17.88930630963277,-37.170454757860206,1400057.2269730088,2517987.980633203,3007240.170154411,1297354.601278954,-33.80723094467362,-82.16995621508521,-66.13963054976205,-63.31324684452972
有大跌/震荡,-12.9344650462908,-80.6218955031722,223144.89678286653,14215.781562740374,42148.235496198446,89099.1263534223,-49.76114498041886,-96.58437643299874,-86.02770149203155,-81.33398675233472
